Time,Inj Gas Meter Volume Instantaneous,Inj Gas Meter Volume Setpoint,Inj Gas Valve Percent Open,Rolling Std,Likelihood of Hydrate
2024-10-14 00:00:00,1467.3729,,,,0.0
2024-10-14 00:02:00,1466.604825,,,,0.0
2024-10-14 00:04:00,1469.3316,1455.0,,,0.0
2024-10-14 00:06:00,1470.3357,1455.0,,,0.0
2024-10-14 00:08:00,1468.70685,1455.0,26.18433,,0.0
2024-10-14 00:10:00,1460.9364,1455.0,26.18433,,0.0
2024-10-14 00:12:00,1470.5415,1455.0,26.18433,,0.0
2024-10-14 00:14:00,1463.54265,1455.0,26.18433,,0.0
2024-10-14 00:16:00,1468.5693,1455.0,26.18433,,0.0
2024-10-14 00:18:00,1466.0652,1455.0,26.18433,,0.0
2024-10-14 00:22:00,1466.14275,1455.0,26.18433,,0.0
2024-10-14 00:24:00,1468.08645,1455.0,26.18433,,0.0
2024-10-14 00:26:00,1469.53065,1455.0,26.18433,,0.0
2024-10-14 00:28:00,1471.30965,1455.0,26.18433,,0.0
2024-10-14 00:30:00,1473.05655,1455.0,26.18433,,0.0
2024-10-14 00:32:00,1470.72885,1455.0,26.18433,,0.0
2024-10-14 00:34:00,1476.54,1455.0,26.18433,,0.0
2024-10-14 00:36:00,1471.85835,1455.0,26.18433,,0.0
2024-10-14 00:38:00,1478.62185,1455.0,26.18433,,0.0
2024-10-14 00:40:00,1475.46225,1455.0,26.18433,4.235572382896443,0.41872664473053195
2024-10-14 00:42:00,1474.970025,1455.0,26.18433,4.357881613333386,0.4387345782468772
2024-10-14 00:46:00,1471.2525,1455.0,26.18433,4.288021735389905,0.4273065626477293
2024-10-14 00:48:00,1469.8339500000002,1455.0,26.18433,4.283646422236789,0.42659082783059404
2024-10-14 00:50:00,1471.3899499999995,1455.0,26.18433,4.2905306543526,0.42771698370609235
2024-10-14 00:52:00,1471.9224,1455.0,26.18433,4.28567431189807,0.4269225597969915
2024-10-14 00:54:00,1478.9943,1455.0,26.18433,4.0568790523488,0.38949512831399463
2024-10-14 00:56:00,1468.42935,1455.0,26.18433,4.108145253419014,0.39788150061790056
2024-10-14 00:58:00,1474.1958,1455.0,26.18433,3.7195639553429194,0.33431549869125177
2024-10-14 01:00:00,1477.5744,1455.0,26.18433,3.8447164274706087,0.35478854338944427
2024-10-14 01:02:00,1473.17325,1455.0,26.18433,3.5558948668064776,0.30754172020847215
2024-10-14 01:04:00,1472.58075,1455.0,26.18433,3.2100525010203373,0.25096715885227033
